 type    delay1    delay2    orientation    order    axis_response    A_DC    A_DC_dist    Q_DC    A_DF    A_DF_dist    Q_DF    A_DVF    Q_DVF    A_DVF_dist    Q_DVF_dist    A_T    Q_T    A_NT1    A_NT2    A_dist    Q_dist    A_NT1_dist    A_NT2_dist    distance_t_dist  
 3.0    7.0    5.0    0.0    1.0    1.0    141.0    151.8    2.0    213.0    237.9    3.0    321.0    4.0    50.0    1.0    321.0    4.0    141.0    213.0    50.0    1.0    151.8    237.9    89.0  
 1.0    7.0    5.0    1.0    1.0    0.0    299.0    315.0    4.0    115.0    141.1    2.0    40.0    1.0    220.0    3.0    299.0    4.0    115.0    40.0    315.0    4.0    141.1    220.0    16.0  
 3.0    7.0    12.0    0.0    2.0    0.0    40.0    22.3    1.0    336.0    312.1    4.0    216.0    3.0    128.0    2.0    216.0    3.0    40.0    336.0    128.0    2.0    22.3    312.1    88.0  
 1.0    7.0    5.0    1.0    1.0    0.0    300.0    318.6    4.0    112.0    141.2    2.0    217.0    3.0    55.0    1.0    300.0    4.0    112.0    217.0    318.6    4.0    141.2    55.0    18.6  
 3.0    7.0    5.0    0.0    1.0    1.0    213.0    201.8    3.0    53.0    23.8    1.0    144.0    2.0    316.0    4.0    144.0    2.0    213.0    53.0    316.0    4.0    201.8    23.8    172.0  
 3.0    7.0    12.0    0.0    2.0    1.0    43.0    53.9    1.0    137.0    157.3    2.0    238.0    3.0    329.0    4.0    238.0    3.0    43.0    137.0    329.0    4.0    53.9    157.3    91.0  
 3.0    7.0    5.0    0.0    1.0    1.0    34.0    51.5    1.0    223.0    246.3    3.0    129.0    2.0    294.0    4.0    129.0    2.0    34.0    223.0    294.0    4.0    51.5    246.3    165.0  
 3.0    7.0    12.0    0.0    2.0    0.0    119.0    133.6    2.0    304.0    328.4    4.0    62.0    1.0    245.0    3.0    62.0    1.0    119.0    304.0    245.0    3.0    133.6    328.4    177.0  
 1.0    7.0    12.0    1.0    2.0    1.0    229.0    244.5    3.0    39.0    61.6    1.0    142.0    2.0    312.0    4.0    229.0    3.0    39.0    142.0    244.5    3.0    61.6    312.0    15.5  
 3.0    7.0    5.0    0.0    1.0    1.0    339.0    325.5    4.0    136.0    114.8    2.0    27.0    1.0    226.0    3.0    27.0    1.0    339.0    136.0    226.0    3.0    325.5    114.8    161.0  
 1.0    7.0    12.0    -1.0    2.0    0.0    41.0    22.1    1.0    159.0    131.2    2.0    313.0    4.0    204.0    3.0    41.0    1.0    159.0    313.0    22.1    1.0    131.2    204.0    18.9  
 3.0    7.0    12.0    0.0    2.0    1.0    67.0    50.1    1.0    158.0    130.3    2.0    232.0    3.0    303.0    4.0    232.0    3.0    67.0    158.0    303.0    4.0    50.1    130.3    71.0  
 1.0    7.0    5.0    -1.0    1.0    0.0    158.0    145.8    2.0    244.0    217.7    3.0    33.0    1.0    295.0    4.0    158.0    2.0    244.0    33.0    145.8    2.0    217.7    295.0    12.2  
 3.0    7.0    12.0    0.0    2.0    0.0    211.0    223.3    3.0    302.0    331.6    4.0    49.0    1.0    150.0    2.0    49.0    1.0    211.0    302.0    150.0    2.0    223.3    331.6    101.0  
 3.0    7.0    5.0    0.0    1.0    1.0    304.0    317.8    4.0    221.0    244.4    3.0    123.0    2.0    40.0    1.0    123.0    2.0    304.0    221.0    40.0    1.0    317.8    244.4    83.0  
 3.0    7.0    5.0    0.0    1.0    1.0    225.0    243.1    3.0    302.0    326.4    4.0    68.0    1.0    144.0    2.0    68.0    1.0    225.0    302.0    144.0    2.0    243.1    326.4    76.0  
 1.0    7.0    5.0    1.0    1.0    1.0    328.0    338.5    4.0    26.0    54.4    1.0    204.0    3.0    139.0    2.0    328.0    4.0    26.0    204.0    338.5    4.0    54.4    139.0    10.5  
 3.0    7.0    12.0    0.0    2.0    0.0    49.0    61.7    1.0    200.0    225.3    3.0    154.0    2.0    304.0    4.0    154.0    2.0    49.0    200.0    304.0    4.0    61.7    225.3    150.0  
 1.0    7.0    12.0    -1.0    2.0    1.0    217.0    200.5    3.0    327.0    305.9    4.0    60.0    1.0    134.0    2.0    217.0    3.0    327.0    60.0    200.5    3.0    305.9    134.0    16.5  
 3.0    7.0    5.0    0.0    1.0    1.0    58.0    47.8    1.0    337.0    312.7    4.0    155.0    2.0    210.0    3.0    155.0    2.0    58.0    337.0    210.0    3.0    47.8    312.7    55.0  
 3.0    7.0    12.0    0.0    2.0    1.0    213.0    232.9    3.0    127.0    148.6    2.0    303.0    4.0    31.0    1.0    303.0    4.0    213.0    127.0    31.0    1.0    232.9    148.6    88.0  
 1.0    7.0    5.0    -1.0    1.0    1.0    125.0    111.8    2.0    311.0    290.5    4.0    220.0    3.0    26.0    1.0    125.0    2.0    311.0    220.0    111.8    2.0    290.5    26.0    13.2  
 1.0    7.0    5.0    -1.0    1.0    1.0    222.0    204.7    3.0    68.0    47.5    1.0    127.0    2.0    325.0    4.0    222.0    3.0    68.0    127.0    204.7    3.0    47.5    325.0    17.3  
 3.0    7.0    12.0    0.0    2.0    1.0    220.0    209.4    3.0    147.0    121.7    2.0    35.0    1.0    334.0    4.0    35.0    1.0    220.0    147.0    334.0    4.0    209.4    121.7    61.0  
 3.0    7.0    12.0    0.0    2.0    1.0    295.0    312.7    4.0    222.0    247.1    3.0    64.0    1.0    132.0    2.0    64.0    1.0    295.0    222.0    132.0    2.0    312.7    247.1    68.0  
 1.0    7.0    12.0    -1.0    2.0    0.0    64.0    50.3    1.0    141.0    118.8    2.0    211.0    3.0    323.0    4.0    64.0    1.0    141.0    211.0    50.3    1.0    118.8    323.0    13.7  
